district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category,total_filled,rural_filled,urban_filled,total_corrected,rural_corrected,urban_corrected
Araria,Bihar,209,10,4.2,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.2,4.1,0,4.2,4.1,0
Kishanganj,Bihar,210,10,4.7,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.7,4.6,0,4.7,4.6,0
Purnia,Bihar,211,10,4.0,3.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.0,3.9,0,4.0,3.9,0
Katihar,Bihar,212,10,5.2,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.2,5.2,0,5.2,5.2,0
Madhepura,Bihar,213,10,4.6,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.6,4.6,0,4.6,4.6,0
Saharsa,Bihar,214,10,3.8,3.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.8,3.9,0,3.8,3.9,0
Darbhanga,Bihar,215,10,4.7,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.7,4.4,0,4.7,4.4,0
Muzaffarpur,Bihar,216,10,3.7,3.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.7,3.7,0,3.7,3.7,0
Gopalganj,Bihar,217,10,5.9,6.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.9,6.1,0,5.9,6.1,0
Siwan,Bihar,218,10,4.7,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.7,4.6,0,4.7,4.6,0
Saran,Bihar,219,10,5.6,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.6,5.1,0,5.6,5.1,0
Vaishali,Bihar,220,10,4.3,3.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,3.3,0,4.3,3.3,0
Samastipur,Bihar,221,10,2.4,2.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.4,2.3,0,2.4,2.3,0
Begusarai,Bihar,222,10,2.4,2.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.4,2.4,0,2.4,2.4,0
Khagaria,Bihar,223,10,3.2,3.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.2,3.1,0,3.2,3.1,0
Bhagalpur,Bihar,224,10,3.9,3.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,3.9,0,3.9,3.9,0
Banka,Bihar,225,10,3.8,3.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.8,3.7,0,3.8,3.7,0
Munger,Bihar,226,10,3.9,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,3.4,0,3.9,3.4,0
Lakhisarai,Bihar,227,10,2.7,2.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.7,2.6,0,2.7,2.6,0
Sheikhpura,Bihar,228,10,3.3,3.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.3,3.1,0,3.3,3.1,0
Nalanda,Bihar,229,10,2.9,2.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.9,2.6,0,2.9,2.6,0
Patna,Bihar,230,10,3.9,3.4,4.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,3.4,4.3,3.9,3.4,4.3
Bhojpur,Bihar,231,10,4.2,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.2,4.1,0,4.2,4.1,0
Buxar,Bihar,232,10,4.0,3.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.0,3.6,0,4.0,3.6,0
Kaimur,Bihar,233,10,6.3,5.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.3,5.8,0,6.3,5.8,0
Rohtas,Bihar,234,10,5.1,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.1,5.2,0,5.1,5.2,0
Aurangabad,Bihar,235,10,5.4,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.4,5.2,0,5.4,5.2,0
Gaya,Bihar,236,10,4.0,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.0,3.8,0,4.0,3.8,0
Nawada,Bihar,237,10,5.0,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.0,5.1,0,5.0,5.1,0
Jamui,Bihar,238,10,2.9,2.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.9,2.9,0,2.9,2.9,0
Jehanabad,Bihar,239,10,5.1,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.1,5.2,0,5.1,5.2,0
Arwal,Bihar,240,10,4.3,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,4.1,0,4.3,4.1,0
North District,Sikkim,241,11,6.0,5.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.0,5.7,0,6.0,5.7,0
West District,Sikkim,242,11,6.9,7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.9,7,0,6.9,7,0
South District,Sikkim,243,11,5.2,4.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.2,4.5,0,5.2,4.5,0
East District,Sikkim,244,11,7.4,6.7,7.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.4,6.7,7.9,7.4,6.7,7.9
Tawang,Arunachal Pradesh,245,12,3.4,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.4,3.4,0,3.4,3.4,0
West Kameng,Arunachal Pradesh,246,12,3.1,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.1,3.4,0,3.1,3.4,0
East Kameng,Arunachal Pradesh,247,12,4.8,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.8,4.1,0,4.8,4.1,0
Papumpare,Arunachal Pradesh,248,12,4.6,3.4,5.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.6,3.4,5.4,4.6,3.4,5.4
Upper Subansiri,Arunachal Pradesh,249,12,5.7,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.7,5.1,0,5.7,5.1,0
West Siang,Arunachal Pradesh,250,12,4.3,5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,5,0,4.3,5,0
East Siang,Arunachal Pradesh,251,12,8.1,10.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.1,10.1,0,8.1,10.1,0
Upper Siang,Arunachal Pradesh,252,12,6.2,6.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.2,6.7,0,6.2,6.7,0
Changlang,Arunachal Pradesh,253,12,7.2,7.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.2,7.3,0,7.2,7.3,0
Tirap,Arunachal Pradesh,254,12,3.9,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,3.8,0,3.9,3.8,0
Lower Subansiri,Arunachal Pradesh,255,12,4.5,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.5,4.4,0,4.5,4.4,0
Kurung Kumey,Arunachal Pradesh,256,12,3.2,3.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.2,3.2,0,3.2,3.2,0
Dibang Valley,Arunachal Pradesh,257,12,7.7,7.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.7,7.7,0,7.7,7.7,0
Lower Dibang Valley,Arunachal Pradesh,258,12,3.1,3.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.1,3.9,0,3.1,3.9,0
Lohit,Arunachal Pradesh,259,12,4.3,3.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,3.9,0,4.3,3.9,0
Anjaw,Arunachal Pradesh,260,12,4.5,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.5,4.6,0,4.5,4.6,0
Mon,Nagaland,261,13,7.0,6.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.0,6.3,0,7.0,6.3,0
Mokokchung,Nagaland,262,13,11.7,11.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.7,11.8,0,11.7,11.8,0
Zunheboto,Nagaland,263,13,9.3,9.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,9.3,9.6,0,9.3,9.6,0
Wokha,Nagaland,264,13,10.9,10.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,10.9,10.7,0,10.9,10.7,0
Dimapur,Nagaland,265,13,6.6,7.6,5.8,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.6,7.6,5.8,6.6,7.6,5.8
Phek,Nagaland,266,13,4.9,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.9,5.1,0,4.9,5.1,0
Tuensang,Nagaland,267,13,6.6,7.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.6,7.5,0,6.6,7.5,0
Longleng,Nagaland,268,13,7.2,6.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.2,6.1,0,7.2,6.1,0
Kiphire,Nagaland,269,13,5.8,5.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.8,5.4,0,5.8,5.4,0
Kohima,Nagaland,270,13,7.3,7.2,7.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.3,7.2,7.4,7.3,7.2,7.4
Peren,Nagaland,271,13,4.2,4.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.2,4.9,0,4.2,4.9,0
Senapati,Manipur,272,14,6.2,6.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.2,6.3,0,6.2,6.3,0
Tamenglong,Manipur,273,14,4.8,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.8,4.4,0,4.8,4.4,0
Churachandpur,Manipur,274,14,11.0,11,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.0,11,0,11.0,11,0
Bishnupur,Manipur,275,14,6.0,5.3,6.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.0,5.3,6.6,6.0,5.3,6.6
Thoubal,Manipur,276,14,6.1,4.8,8.1,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.1,4.8,8.1,6.1,4.8,8.1
Imphal West,Manipur,277,14,9.1,8.7,9.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,9.1,8.7,9.4,9.1,8.7,9.4
Imphal East,Manipur,278,14,8.0,6.8,9.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.0,6.8,9.3,8.0,6.8,9.3
Ukhrul,Manipur,279,14,6.0,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.0,4.6,0,6.0,4.6,0
Chandel,Manipur,280,14,6.1,5.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.1,5.7,0,6.1,5.7,0
Mamit,Mizoram,281,15,6.5,7.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.5,7.5,0,6.5,7.5,0
Kolasib,Mizoram,282,15,11.3,11.1,11.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.3,11.1,11.3,11.3,11.1,11.3
Aizawl,Mizoram,283,15,9.5,,9.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,9.5,0,9.6,9.5,0,9.6
Champhai,Mizoram,284,15,6.9,7.1,6.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.9,7.1,6.6,6.9,7.1,6.6
Serchhip,Mizoram,285,15,11.2,10.3,11.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.2,10.3,11.5,11.2,10.3,11.5
Lunglei,Mizoram,286,15,9.0,6.8,11.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,9.0,6.8,11.6,9.0,6.8,11.6
Lawngtlai,Mizoram,287,15,6.8,6.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.8,6.3,0,6.8,6.3,0
Saiha,Mizoram,288,15,4.4,3.2,5.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.4,3.2,5.4,4.4,3.2,5.4
West Tripura,Tripura,289,16,8.6,7.7,9.8,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.6,7.7,9.8,8.6,7.7,9.8
South Tripura,Tripura,290,16,8.5,8.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.5,8.5,0,8.5,8.5,0
Dhalai,Tripura,291,16,5.2,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.2,5.1,0,5.2,5.1,0
North Tripura,Tripura,292,16,5.5,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.5,4.6,0,5.5,4.6,0
West Garo Hills,Meghalaya,293,17,3.7,3.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.7,3.5,0,3.7,3.5,0
East Garo Hills,Meghalaya,294,17,3.8,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.8,3.8,0,3.8,3.8,0
South Garo Hills,Meghalaya,295,17,4.4,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.4,4.6,0,4.4,4.6,0
West Khasi Hills,Meghalaya,296,17,3.6,2.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.6,2.9,0,3.6,2.9,0
Ribhoi,Meghalaya,297,17,3.3,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.3,3.4,0,3.3,3.4,0
East Khasi Hills,Meghalaya,298,17,5.4,5.7,5.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.4,5.7,5.2,5.4,5.7,5.2
Jaintia Hills,Meghalaya,299,17,4.1,4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.1,4,0,4.1,4,0
Kokrajhar,Assam,300,18,6.2,6.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.2,6.1,0,6.2,6.1,0
Dhubri,Assam,301,18,3.2,2.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.2,2.7,0,3.2,2.7,0
Goalpara,Assam,302,18,3.1,2.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.1,2.7,0,3.1,2.7,0
Barpeta,Assam,303,18,5.4,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.4,5.2,0,5.4,5.2,0
Morigaon,Assam,304,18,7.5,7.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.5,7.4,0,7.5,7.4,0
Nagaon,Assam,305,18,7.2,6.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.2,6.7,0,7.2,6.7,0
Sonitpur,Assam,306,18,5.9,5.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.9,5.6,0,5.9,5.6,0
Lakhimpur,Assam,307,18,7.1,6.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.1,6.8,0,7.1,6.8,0
Dhemaji,Assam,308,18,6.4,6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.4,6,0,6.4,6,0
Tinsukia,Assam,309,18,3.9,2.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.9,2.5,0,3.9,2.5,0
Dibrugarh,Assam,310,18,4.5,4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.5,4,0,4.5,4,0
Sivasagar,Assam,311,18,7.5,7.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.5,7.7,0,7.5,7.7,0
Jorhat,Assam,312,18,5.6,5.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.6,5.7,0,5.6,5.7,0
Golaghat,Assam,313,18,6.6,5.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.6,5.9,0,6.6,5.9,0
Karbi Anglong,Assam,314,18,4.3,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,4.1,0,4.3,4.1,0
Dima Hasao,Assam,315,18,5.0,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.0,4.4,0,5.0,4.4,0
Cachar,Assam,316,18,2.0,1.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.0,1.9,0,2.0,1.9,0
Karimganj,Assam,317,18,5.3,5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.3,5,0,5.3,5,0
Hailakandi,Assam,318,18,4.3,3.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.3,3.7,0,4.3,3.7,0
Bongaigaon,Assam,319,18,4.1,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.1,4.1,0,4.1,4.1,0
Chirang,Assam,320,18,5.9,5.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.9,5.5,0,5.9,5.5,0
Kamrup,Assam,321,18,4.0,4.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.0,4.2,0,4.0,4.2,0
Kamrup Metropolitan,Assam,322,18,6.5,,6.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.5,0,6.9,6.5,0,6.9
Nalbari,Assam,323,18,4.8,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.8,4.4,0,4.8,4.4,0
Baksa,Assam,324,18,5.5,5.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.5,5.5,0,5.5,5.5,0
Darrang,Assam,325,18,5.5,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.5,5.2,0,5.5,5.2,0
Udalguri,Assam,326,18,3.5,3.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.5,3.3,0,3.5,3.3,0
Darjiling,West Bengal,327,19,3.8,3.1,4.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.8,3.1,4.9,3.8,3.1,4.9
Jalpaiguri,West Bengal,328,19,6.3,5.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.3,5.4,0,6.3,5.4,0
Koch Bihar,West Bengal,329,19,7.1,7.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.1,7.1,0,7.1,7.1,0
Uttar Dinajpur,West Bengal,330,19,5.8,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.8,5.1,0,5.8,5.1,0
Dakshin Dinajpur,West Bengal,331,19,5.5,5.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.5,5.5,0,5.5,5.5,0
Maldah,West Bengal,332,19,7.9,7.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.9,7.9,0,7.9,7.9,0
Murshidabad,West Bengal,333,19,5.6,5.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.6,5.4,0,5.6,5.4,0
Birbhum,West Bengal,334,19,5.0,4.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.0,4.8,0,5.0,4.8,0
Barddhaman,West Bengal,335,19,7.5,7.3,7.8,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.5,7.3,7.8,7.5,7.3,7.8
Nadia,West Bengal,336,19,7.1,5.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.1,5.8,0,7.1,5.8,0
North Twenty Four Parganas,West Bengal,337,19,11.2,8.1,13.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,11.2,8.1,13.9,11.2,8.1,13.9
Hugli,West Bengal,338,19,9.8,10.7,8.1,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,9.8,10.7,8.1,9.8,10.7,8.1
Bankura,West Bengal,339,19,6.9,7.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.9,7.3,0,6.9,7.3,0
Puruliya,West Bengal,340,19,4.7,4.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.7,4.2,0,4.7,4.2,0
Haora,West Bengal,341,19,7.1,7.8,6.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.1,7.8,6.6,7.1,7.8,6.6
Kolkata,West Bengal,342,19,8.5,,8.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.5,0,8.5,8.5,0,8.5
South Twenty Four Parganas,West Bengal,343,19,7.3,7.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.3,7.8,0,7.3,7.8,0
Paschim Medinipur,West Bengal,344,19,6.7,6.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.7,6.5,0,6.7,6.5,0
Purba Medinipur,West Bengal,345,19,8.4,8.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.4,8.2,0,8.4,8.2,0
Garhwa,Jharkhand,346,20,2.7,2.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.7,2.5,0,2.7,2.5,0
Chatra,Jharkhand,347,20,3.6,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.6,3.4,0,3.6,3.4,0
Kodarma,Jharkhand,348,20,4.6,4.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.6,4.1,0,4.6,4.1,0
Giridih,Jharkhand,349,20,3.8,3.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.8,3.5,0,3.8,3.5,0
Deoghar,Jharkhand,350,20,7.7,7.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,7.7,7.4,0,7.7,7.4,0
Godda,Jharkhand,351,20,4.9,4.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.9,4.8,0,4.9,4.8,0
Sahibganj,Jharkhand,352,20,4.0,4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,4.0,4,0,4.0,4,0
