district,state,district_census_code,state_census_code,total,rural,urban,indicator_number,indicator_name,indicator_category
Belgaum,Karnataka,555,29,27.5,22.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bagalkot,Karnataka,556,29,13.6,8.9,23.4,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bijapur,Karnataka,557,29,16.2,13.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bidar,Karnataka,558,29,17,12.6,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Raichur,Karnataka,559,29,27.6,27.4,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Koppal,Karnataka,560,29,20.2,15,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Gadag,Karnataka,561,29,24.2,16.8,34.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dharwad,Karnataka,562,29,30.3,18.2,39.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Uttara Kannada,Karnataka,563,29,16.5,5,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Haveri,Karnataka,564,29,15,11.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bellary,Karnataka,565,29,20.9,10.3,37,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chitradurga,Karnataka,566,29,20.2,18.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Davanagere,Karnataka,567,29,20.1,15.2,29.5,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Shimoga,Karnataka,568,29,15.5,7.2,-39,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Udupi,Karnataka,569,29,22.5,17.7,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chikmagalur,Karnataka,570,29,16.9,13.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tumkur,Karnataka,571,29,19.3,16.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bangalore,Karnataka,572,29,26.1,,27.5,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mandya,Karnataka,573,29,20.7,25.5,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Hassan,Karnataka,574,29,28.7,26.3,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dakshina Kannada,Karnataka,575,29,20.4,17.7,-23.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kodagu,Karnataka,576,29,24.2,24,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mysore,Karnataka,577,29,20.2,18.3,-22.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chamarajanagar,Karnataka,578,29,18.8,17.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Gulbarga,Karnataka,579,29,18.8,19.7,17.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Yadgir,Karnataka,580,29,10.9,9.2,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kolar,Karnataka,581,29,21.3,-12.9,29.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chikkaballapura,Karnataka,582,29,20.8,16.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Bangalore Rural,Karnataka,583,29,22.3,20.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ramanagara,Karnataka,584,29,37.8,32.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
North Goa,Goa,585,30,33,28.4,35.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
South Goa,Goa,586,30,31.9,27.9,34.5,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kasaragod,Kerala,588,32,24.4,18.4,32.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kannur,Kerala,589,32,30.1,34.4,-26.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Wayanad,Kerala,590,32,34.6,32.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kozhikode,Kerala,591,32,16.4,9.3,20.4,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Malappuram,Kerala,592,32,33.4,33.2,33.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Palakkad,Kerala,593,32,27,23.1,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thrissur,Kerala,594,32,26.4,28.4,25.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ernakulam,Kerala,595,32,38.9,-41.3,37.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Idukki,Kerala,596,32,26.2,25.1,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kottayam,Kerala,597,32,33.6,24.7,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Alappuzha,Kerala,598,32,22.1,26.8,16.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pathanamthitta,Kerala,599,32,35.9,36.4,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kollam,Kerala,600,32,30.6,20.2,46.9,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thiruvananthapuram,Kerala,601,32,25.2,23,26.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thiruvallur,Tamil Nadu,602,33,32,30,33.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Chennai,Tamil Nadu,603,33,31.3,,31.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kancheepuram,Tamil Nadu,604,33,28.3,22.1,31,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Vellore,Tamil Nadu,605,33,26.1,26.1,26.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tiruvannamalai,Tamil Nadu,606,33,29.8,29.8,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Viluppuram,Tamil Nadu,607,33,34.1,33.4,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Salem,Tamil Nadu,608,33,34.3,30.6,37.6,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Namakkal,Tamil Nadu,609,33,24.4,25.8,22.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Erode,Tamil Nadu,610,33,24.1,14.1,33,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
The Nilgiris,Tamil Nadu,611,33,16.5,21.6,14,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dindigul,Tamil Nadu,612,33,24.4,26,21.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Karur,Tamil Nadu,613,33,26.8,24,30.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tiruchirappalli,Tamil Nadu,614,33,28.7,20.2,36.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Perambalur,Tamil Nadu,615,33,21.7,18.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ariyalur,Tamil Nadu,616,33,28.9,29,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Cuddalore,Tamil Nadu,617,33,22.1,19.3,26.9,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Nagapattinam,Tamil Nadu,618,33,27,24.4,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thiruvarur,Tamil Nadu,619,33,24.6,19.9,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thanjavur,Tamil Nadu,620,33,31,29,34.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Pudukkottai,Tamil Nadu,621,33,21.2,24.2,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Sivaganga,Tamil Nadu,622,33,24.9,15.7,44.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Madurai,Tamil Nadu,623,33,32.3,32.5,32.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Theni,Tamil Nadu,624,33,28.1,21.3,32.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Virudhunagar,Tamil Nadu,625,33,17.7,15.1,20.1,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Ramanathapuram,Tamil Nadu,626,33,27.1,-26.6,28.4,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Thoothukkudi,Tamil Nadu,627,33,22.9,-20.4,24.2,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tirunelveli,Tamil Nadu,628,33,30.2,-27.5,32.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kanniyakumari,Tamil Nadu,629,33,34.6,,34.6,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Dharmapuri,Tamil Nadu,630,33,22.3,22.4,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Krishnagiri,Tamil Nadu,631,33,21,19.7,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Coimbatore,Tamil Nadu,632,33,34.8,,36,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Tiruppur,Tamil Nadu,633,33,26.3,32.4,22.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Yanam,Puducherry,634,34,35.8,,35.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Puducherry,Puducherry,635,34,36.9,32,39.5,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Mahe,Puducherry,636,34,39.7,,39.7,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Karaikal,Puducherry,637,34,38.4,26.8,51.3,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Nicobar,Andaman & Nicobar Islands,638,35,31.7,31.7,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
North & Middle Andaman,Andaman & Nicobar Islands,639,35,43.2,46.1,,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
South Andaman,Andaman & Nicobar Islands,640,35,36.5,31.4,39.8,75,Men who are overweight or obese (BMI >= 25.0 kg/m^2) (%),Nutritional Status of Adults (age 15-49 years)
Kupwara,Jammu & Kashmir,1,1,5.2,5.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Badgam,Jammu & Kashmir,2,1,6.8,6.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Leh(Ladakh),Jammu & Kashmir,3,1,2.1,1.7,2.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kargil,Jammu & Kashmir,4,1,1,1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Punch,Jammu & Kashmir,5,1,3.4,3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Rajouri,Jammu & Kashmir,6,1,3.6,3.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kathua,Jammu & Kashmir,7,1,4.3,4.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Baramula,Jammu & Kashmir,8,1,3.7,2.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Bandipore,Jammu & Kashmir,9,1,5.2,4.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Srinagar,Jammu & Kashmir,10,1,9.3,,9.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Ganderbal,Jammu & Kashmir,11,1,5.6,5.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Pulwama,Jammu & Kashmir,12,1,3.3,3.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Shupiyan,Jammu & Kashmir,13,1,7.5,7.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Anantnag,Jammu & Kashmir,14,1,7.5,6.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kulgam,Jammu & Kashmir,15,1,5.7,4.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Doda,Jammu & Kashmir,16,1,3.2,3.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Ramban,Jammu & Kashmir,17,1,2.7,2.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kishtwar,Jammu & Kashmir,18,1,2.6,2.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Udhampur,Jammu & Kashmir,19,1,3.7,3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Reasi,Jammu & Kashmir,20,1,3.3,3.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Jammu,Jammu & Kashmir,21,1,7.5,6.2,9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Samba,Jammu & Kashmir,22,1,6.9,6.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Chamba,Himachal Pradesh,23,2,3.7,3.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kangra,Himachal Pradesh,24,2,7.3,7.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Lahul and Spiti,Himachal Pradesh,25,2,2.7,2.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kullu,Himachal Pradesh,26,2,3.8,3.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Mandi,Himachal Pradesh,27,2,3.6,2.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Hamirpur,Himachal Pradesh,28,2,5.8,6.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Una,Himachal Pradesh,29,2,9,8.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Bilaspur,Himachal Pradesh,30,2,6.6,6.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Solan,Himachal Pradesh,31,2,5.7,5.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sirmaur,Himachal Pradesh,32,2,6.5,5.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Shimla,Himachal Pradesh,33,2,6.8,6.7,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kinnaur,Himachal Pradesh,34,2,3.8,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Gurdaspur,Punjab,35,3,7.5,6.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kapurthala,Punjab,36,3,7.7,6.7,9.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Jalandhar,Punjab,37,3,5.7,7.4,4.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Hoshiarpur,Punjab,38,3,8,7.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sahid Bhagat Singh Nagar,Punjab,39,3,5.7,5.5,6.7,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Fatehgarh Sahib,Punjab,40,3,6,5.8,6.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Ludhiana,Punjab,41,3,5.3,6.6,4.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Moga,Punjab,42,3,5,5.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Firozpur,Punjab,43,3,8.2,8.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Muktsar,Punjab,44,3,5.9,4.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Faridkot,Punjab,45,3,6.6,6.3,7.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Bathinda,Punjab,46,3,4.6,4.9,4.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Mansa,Punjab,47,3,5.3,5.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Patiala,Punjab,48,3,5.4,6.1,4.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Amritsar,Punjab,49,3,4.9,6.2,3.8,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Tarn Taran,Punjab,50,3,7.7,7.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Rup Nagar,Punjab,51,3,7.3,7.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sahibzada Ajit Singh Nagar,Punjab,52,3,5.4,5.3,5.5,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sangrur,Punjab,53,3,4.7,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Barnala,Punjab,54,3,5.8,5.6,6.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Uttarkashi,Uttarakhand,56,5,4.5,4.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Chamoli,Uttarakhand,57,5,3.9,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Rudraprayag,Uttarakhand,58,5,3.9,3.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Tehri Garhwal,Uttarakhand,59,5,4.4,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Dehradun,Uttarakhand,60,5,5.7,6.3,5.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Garhwal,Uttarakhand,61,5,7.1,7.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Pithoragarh,Uttarakhand,62,5,6.4,6.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Bageshwar,Uttarakhand,63,5,4.3,4.3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Almora,Uttarakhand,64,5,4.8,4.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Champawat,Uttarakhand,65,5,8,8.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Nainital,Uttarakhand,66,5,7.3,7.5,6.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Udham Singh Nagar,Uttarakhand,67,5,7.4,6.7,8.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Hardwar,Uttarakhand,68,5,6.5,6.6,6.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Panchkula,Haryana,69,6,5.4,5.2,5.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Ambala,Haryana,70,6,4.4,3.6,5.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Yamunanagar,Haryana,71,6,4.9,4.9,4.7,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kurukshetra,Haryana,72,6,2.9,2.8,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Kaithal,Haryana,73,6,4.8,5.1,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Karnal,Haryana,74,6,4,4.1,3.7,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Panipat,Haryana,75,6,8.6,4.4,12.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sonipat,Haryana,76,6,4.5,4.7,4.1,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Jind,Haryana,77,6,3.1,3.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Fatehabad,Haryana,78,6,3.9,3,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Sirsa,Haryana,79,6,4.1,3.5,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Hisar,Haryana,80,6,3,3,3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Bhiwani,Haryana,81,6,4.3,4.2,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Rohtak,Haryana,82,6,4.5,3.3,6.2,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Jhajjar,Haryana,83,6,5.2,6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Mahendragarh,Haryana,84,6,2.8,2.6,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Rewari,Haryana,85,6,6.6,5.9,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Gurgaon,Haryana,86,6,6.5,6.7,6.4,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Mewat,Haryana,87,6,4.4,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Faridabad,Haryana,88,6,6.4,,6.3,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
Palwal,Haryana,89,6,5.3,4.4,,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
North West,NCT Delhi,90,7,7.6,,7.6,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
North,NCT Delhi,91,7,5.8,,5.9,81,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women
